"","Subtype","Provider","Name","Council","Grades published","Setting","Staffing","Leadership","Care and play","Complaints upheld since 22/23","Total"
"268","Under 3s","Private","Busy Bees @ East Kilbride","South Lanarkshire","06/09/2023",4,3,4,4,0,15
"269","Over 3s","Voluntary or Not for Profit","Snap","South Lanarkshire","29/07/2019",5,5,5,5,0,20
"270","Under 3s","Private","Kirktonholme @ East Kilbride","South Lanarkshire","12/01/2018",5,5,5,5,0,20
"271","Over 3s","Voluntary or Not for Profit","Playcare Club","South Lanarkshire","26/06/2018",5,5,4,4,0,18
"272","Over 3s","Voluntary or Not for Profit","Abbeyview Kids Club","Fife","01/11/2022",4,4,4,4,0,16
"273","Over 3s","Local Authority","Baldridgeburn Out of School Club","Fife","16/10/2020",4,5,5,4,0,18
"274","Under 3s","Voluntary or Not for Profit","Wormit Playgroup","Fife","27/03/2023",5,5,5,5,0,20
"275","Under 3s","Voluntary or Not for Profit","Dunnikier Park Pre School Playgroup","Fife","31/05/2023",5,5,4,4,0,18
"276","Under 3s","Voluntary or Not for Profit","Triangle Under 5s Group","Fife","18/04/2024",4,4,4,5,0,17
"277","Under 3s","Private","Bumble Beez Children's Nursery","Fife","27/04/2022",4,4,4,5,0,17
"278","Under 3s","Voluntary or Not for Profit","Tayport Playgroup","Fife","12/12/2023",3,2,2,3,1,10
"279","Under 3s","Voluntary or Not for Profit","Ferryfield Playgroup","Fife","08/11/2023",4,4,4,4,0,16
"280","Under 3s","Voluntary or Not for Profit","Pitcorthie Playgroup","Fife","03/07/2019",5,4,5,5,0,19
"281","Under 3s","Private","Little Beehive Nursery (Cupar)","Fife","04/04/2023",5,5,5,5,0,20
"282","Under 3s","Voluntary or Not for Profit","Pitreavie Playgroup","Fife","30/04/2019",4,4,4,5,0,17
"283","Under 3s","Voluntary or Not for Profit","Crossford Playgroup","Fife","14/11/2023",4,4,4,3,0,15
"284","Over 3s","Local Authority","St John's Out of School Club","Fife","15/05/2023",4,4,3,4,0,15
"285","Under 3s","Voluntary or Not for Profit","Newcastle Early Learning Nursery","Fife","13/01/2020",4,4,4,4,0,16
"286","Over 3s","Voluntary or Not for Profit","Markinch After School Club (MASK)","Fife","05/01/2023",4,4,4,4,0,16
"287","Under 3s","Private","Rainbow Nursery And After School Club, Glenrothes","Fife","09/10/2023",4,4,4,4,0,16
"288","Under 3s","Private","Rainbow Nursery Ltd","Fife","28/11/2023",4,4,4,4,0,16
"289","Under 3s","Voluntary or Not for Profit","Largo Playgroup","Fife","11/03/2024",4,4,3,4,0,15
"290","Under 3s","Private","Busy Bees @ Glenrothes","Fife","12/04/2024",5,4,5,4,1,18
"291","Under 3s","Voluntary or Not for Profit","Burntisland Playgroup","Fife","05/03/2024",5,5,5,4,0,19
"292","Over 3s","Voluntary or Not for Profit","Cowdenbeath After School Club","Fife","07/02/2024",3,3,3,3,0,12
"293","Under 3s","Voluntary or Not for Profit","Bower Busy Bees ELC (Early Learning Centre)","Highland","03/10/2022",5,5,5,5,0,20
"294","Under 3s","Private","Busy Bees@ Inverness","Highland","05/05/2023",4,5,4,5,0,18
"295","Over 3s","Voluntary or Not for Profit","Crown Corner Club","Highland","22/09/2023",4,3,3,4,0,14
"296","Over 3s","Private","Allsorts, Dornoch After School","Highland","18/05/2023",4,4,4,4,0,16
"297","Over 3s","Private","Glenurquhart Childcare Centre","Highland","15/11/2023",4,5,5,5,0,19
"298","Under 3s","Voluntary or Not for Profit","Grantown Playgroup","Highland","01/03/2019",6,5,5,5,0,21
"299","Over 3s","Private","Halkirk Playgroup","Highland","12/01/2024",3,3,2,3,0,11
"300","Under 3s","Voluntary or Not for Profit","Limetree Children's Nursery & Out of School Club","Highland","27/02/2024",4,4,4,4,0,16
"301","Under 3s","Private","Little Learners Nursery & Day Care","Highland","02/02/2022",4,4,5,4,0,17
"302","Under 3s","Private","Portree Nursery Ltd","Highland","02/11/2023",3,4,4,3,0,14
"303","Over 3s","Voluntary or Not for Profit","The 3 O'Clock Club","Highland","09/05/2024",4,5,4,4,0,17
"304","Under 3s","Private","Tiny Tots Nursery (Inverness)","Highland","06/12/2019",4,4,4,5,0,17
"305","Under 3s","Voluntary or Not for Profit","Toybox Children's Centre","Highland","09/04/2024",4,5,4,4,0,17
"306","Under 3s","Voluntary or Not for Profit","Miltonduff Pre-school Group","Moray","22/10/2018",5,5,4,4,0,18
"307","Under 3s","Voluntary or Not for Profit","St. Sylvester's Nursery","Moray","03/09/2021",4,4,4,4,0,16
"308","Under 3s","Private","The College Nursery","Moray","11/01/2023",4,4,4,4,0,16
"309","Under 3s","Private","(Torridon Education Group's) Little Learners","Moray","18/03/2019",5,5,5,5,0,20
