"Date","Council","Wellbeing support","Care and support","Setting","Staffing","Leadership"
"Apr-20","City of Edinburgh","4.112676","3.915493","3.741935","3.666667","3.866667"
"Apr-20","Clackmannanshire","4.500000","4.500000","3.500000","3.500000","3.000000"
"Apr-20","Dumfries & Galloway","4.031250","4.187500","3.600000","3.428571","3.352941"
"Apr-20","Dundee City","4.103448","4.068966","3.800000","4.000000","3.777778"
"Apr-20","East Ayrshire","3.869565","3.772727","3.562500","3.625000","3.500000"
"Apr-20","East Dunbartonshire","4.500000","4.222222","4.000000","3.625000","3.500000"
"Apr-20","East Lothian","4.315789","4.263158","4.111111","3.923077","4.000000"
"Apr-20","East Renfrewshire","3.692308","3.769231","4.125000","3.125000","3.000000"
"Apr-20","Falkirk","4.344828","4.357143","3.857143","3.714286","3.714286"
"Apr-20","Fife","4.102564","4.307692","3.695652","3.521739","3.565217"
"Apr-20","Glasgow City","4.175824","4.032967","3.787879","3.636364","3.393939"
"Apr-20","Highland","4.343750","4.140625","3.761905","3.600000","3.840000"
"Apr-20","Inverclyde","4.476190","4.380952","3.750000","4.000000","3.666667"
"Apr-20","Midlothian","3.833333","3.833333","3.428571","3.375000","3.750000"
"Apr-20","Moray","3.533333","3.733333","3.375000","3.111111","3.272727"
"Apr-20","Na h-Eileanan Siar","4.125000","3.875000","3.333333","3.400000","3.000000"
"Apr-20","North Ayrshire","4.400000","4.200000","3.545455","3.700000","3.666667"
"Apr-20","North Lanarkshire","4.161290","3.774194","4.000000","4.000000","3.571429"
"Apr-20","Orkney Islands","4.571429","4.428571","3.000000","4.000000","3.000000"
"Apr-20","Perth & Kinross","4.317073","4.097561","3.533333","3.666667","3.800000"
"Apr-20","Renfrewshire","4.500000","4.423077","4.000000","4.000000","3.900000"
"Apr-20","Scottish Borders","4.333333","4.222222","3.727273","3.777778","3.714286"
"Apr-20","Shetland Islands","4.111111","4.555556","4.000000","4.000000","3.000000"
"Apr-20","South Ayrshire","3.714286","3.904762","3.666667","3.250000","3.230769"
"Apr-20","South Lanarkshire","3.981481","3.759259","3.718750","3.833333","3.542857"
"Apr-20","Stirling","3.904762","3.666667","3.111111","3.444444","3.300000"
"Apr-20","West Dunbartonshire","4.200000","4.200000","4.000000","4.000000","3.800000"
"Apr-20","West Lothian","4.310345","4.068966","3.700000","3.181818","3.500000"
"May-20","Aberdeen City","4.469388","4.448980","4.000000","4.000000","4.000000"
"May-20","Aberdeenshire","4.444444","4.380952","3.777778","4.294118","4.000000"
"May-20","Angus","4.100000","4.033333","3.272727","3.818182","3.545455"
"May-20","Argyll & Bute","4.058824","3.705882","3.800000","3.777778","3.333333"
"May-20","City of Edinburgh","4.109589","3.931507","3.750000","3.677419","3.870968"
"May-20","Clackmannanshire","4.300000","4.500000","3.500000","3.500000","3.000000"
"May-20","Dumfries & Galloway","4.062500","4.187500","3.600000","3.428571","3.352941"
"May-20","Dundee City","4.103448","4.068966","3.800000","4.000000","3.777778"
"May-20","East Ayrshire","3.869565","3.772727","3.562500","3.625000","3.500000"
"May-20","East Dunbartonshire","4.500000","4.222222","4.000000","3.625000","3.500000"
"May-20","East Lothian","4.315789","4.263158","4.111111","3.923077","4.000000"
"May-20","East Renfrewshire","3.692308","3.692308","4.000000","3.000000","3.000000"
"May-20","Falkirk","4.344828","4.357143","3.857143","3.714286","3.714286"
"May-20","Fife","4.102564","4.307692","3.695652","3.521739","3.565217"
"May-20","Glasgow City","4.175824","4.043956","3.818182","3.666667","3.393939"
