"Date","Scotland"
"Jul 2020",36
"Aug 2020",36
"Sep 2020",36
"Oct 2020",35
"Nov 2020",35
"Dec 2020",35
"Jan 2021",35
"Feb 2021",35
"Mar 2021",35
"Apr 2021",35
"May 2021",35
"Jun 2021",35
"Jul 2021",35
"Aug 2021",35
"Sep 2021",35
"Oct 2021",34
"Nov 2021",34
"Dec 2021",34
"Jan 2022",34
"Feb 2022",34
"Mar 2022",34
"Apr 2022",34
"May 2022",34
"Jun 2022",34
"Jul 2022",34
"Aug 2022",34
"Sep 2022",34
"Oct 2022",34
"Nov 2022",34
"Dec 2022",35
"Jan 2023",35
"Feb 2023",35
"Mar 2023",35
"Apr 2023",35
"May 2023",35
"Jun 2023",35
"Jul 2023",35
"Aug 2023",35
"Sep 2023",35
"Oct 2023",35
"Nov 2023",35
"Dec 2023",35
"Jan 2024",35
"Feb 2024",36
"Mar 2024",34
"Apr 2024",34
"May 2024",34
"Jun 2017",36
"Jul 2017",36
"Aug 2017",36
"Sep 2017",36
"Oct 2017",36
"Nov 2017",36
"Dec 2017",36
"Jan 2018",36
"Feb 2018",36
"Mar 2018",36
"Apr 2018",36
"May 2018",36
"Jun 2018",36
"Jul 2018",36
"Aug 2018",36
"Sep 2018",36
"Oct 2018",36
"Nov 2018",36
"Dec 2018",36
"Jan 2019",36
"Feb 2019",36
"Mar 2019",37
"Apr 2019",39
"May 2019",40
"Jun 2019",40
"Jul 2019",40
"Aug 2019",40
"Sep 2019",40
"Oct 2019",40
"Nov 2019",40
"Dec 2019",40
"Jan 2020",40
"Feb 2020",40
"Mar 2020",40
"Apr 2020",40
"May 2020",40
"Jun 2020",40
"Jul 2020",40
"Aug 2020",41
"Sep 2020",41
"Oct 2020",41
"Nov 2020",41
"Dec 2020",41
"Jan 2021",41
"Feb 2021",41
"Mar 2021",41
"Apr 2021",41
"May 2021",41
"Jun 2021",41
"Jul 2021",41
"Aug 2021",41
"Sep 2021",41
"Oct 2021",41
"Nov 2021",41
"Dec 2021",41
"Jan 2022",40
"Feb 2022",40
"Mar 2022",40
"Apr 2022",39
"May 2022",39
"Jun 2022",39
"Jul 2022",39
"Aug 2022",39
"Sep 2022",39
"Oct 2022",39
"Nov 2022",39
"Dec 2022",39
"Jan 2023",39
"Feb 2023",39
"Mar 2023",39
"Apr 2023",39
"May 2023",40
"Jun 2023",40
"Jul 2023",41
"Aug 2023",41
"Sep 2023",41
"Oct 2023",41
"Nov 2023",41
"Dec 2023",41
"Jan 2024",41
"Feb 2024",41
"Mar 2024",41
"Apr 2024",41
"May 2024",41
"Jun 2017",25
"Jul 2017",25
"Aug 2017",25
"Sep 2017",25
"Oct 2017",26
"Nov 2017",26
"Dec 2017",27
"Jan 2018",27
"Feb 2018",27
"Mar 2018",27
"Apr 2018",27
"May 2018",27
"Jun 2018",27
"Jul 2018",27
"Aug 2018",27
"Sep 2018",27
"Oct 2018",27
"Nov 2018",27
"Dec 2018",27
"Jan 2019",27
"Feb 2019",27
"Mar 2019",27
"Apr 2019",26
"May 2019",26
"Jun 2019",26
"Jul 2019",26
"Aug 2019",26
"Sep 2019",26
"Oct 2019",26
"Nov 2019",26
"Dec 2019",26
"Jan 2020",26
"Feb 2020",26
"Mar 2020",26
"Apr 2020",25
"May 2020",25
"Jun 2020",25
"Jul 2020",25
"Aug 2020",25
"Sep 2020",25
"Oct 2020",25
"Nov 2020",25
"Dec 2020",25
"Jan 2021",25
"Feb 2021",26
"Mar 2021",26
"Apr 2021",26
"May 2021",25
"Jun 2021",25
"Jul 2021",25
"Aug 2021",25
"Sep 2021",25
"Oct 2021",25
"Nov 2021",25
"Dec 2021",25
"Jan 2022",25
"Feb 2022",25
"Mar 2022",25
"Apr 2022",25
"May 2022",25
"Jun 2022",25
"Jul 2022",25
"Aug 2022",26
"Sep 2022",26
"Oct 2022",26
"Nov 2022",26
"Dec 2022",26
"Jan 2023",25
"Feb 2023",25
"Mar 2023",26
"Apr 2023",25
"May 2023",26
"Jun 2023",26
"Jul 2023",26
"Aug 2023",26
"Sep 2023",26
"Oct 2023",26
"Nov 2023",26
"Dec 2023",26
"Jan 2024",26
"Feb 2024",26
"Mar 2024",26
"Apr 2024",26
"May 2024",26
"Jun 2017",22
"Jul 2017",22
"Aug 2017",22
"Sep 2017",22
"Oct 2017",22
"Nov 2017",22
"Dec 2017",22
"Jan 2018",23
"Feb 2018",23
"Mar 2018",23
"Apr 2018",22
"May 2018",22
"Jun 2018",23
"Jul 2018",23
"Aug 2018",23
"Sep 2018",23
"Oct 2018",23
"Nov 2018",23
"Dec 2018",23
"Jan 2019",23
"Feb 2019",23
"Mar 2019",23
"Apr 2019",23
"May 2019",23
"Jun 2019",23
"Jul 2019",23
"Aug 2019",23
"Sep 2019",23
"Oct 2019",23
"Nov 2019",23
"Dec 2019",23
"Jan 2020",23
"Feb 2020",23
"Mar 2020",23
"Apr 2020",23
"May 2020",23
"Jun 2020",23
"Jul 2020",23
"Aug 2020",23
"Sep 2020",23
"Oct 2020",23
"Nov 2020",25
"Dec 2020",25
"Jan 2021",25
"Feb 2021",25
"Mar 2021",25
"Apr 2021",25
"May 2021",25
"Jun 2021",25
"Jul 2021",24
"Aug 2021",24
"Sep 2021",24
"Oct 2021",24
"Nov 2021",24
"Dec 2021",24
"Jan 2022",24
"Feb 2022",24
"Mar 2022",24
"Apr 2022",24
"May 2022",24
"Jun 2022",24
"Jul 2022",24
"Aug 2022",24
"Sep 2022",25
"Oct 2022",25
"Nov 2022",25
"Dec 2022",25
"Jan 2023",25
"Feb 2023",25
"Mar 2023",24
"Apr 2023",24
"May 2023",23
"Jun 2023",23
"Jul 2023",23
"Aug 2023",23
"Sep 2023",23
"Oct 2023",23
"Nov 2023",23
"Dec 2023",23
"Jan 2024",23
"Feb 2024",23
"Mar 2024",23
"Apr 2024",23
"May 2024",23
"Jun 2017",33
"Jul 2017",31
"Aug 2017",31
"Sep 2017",31
"Oct 2017",31
"Nov 2017",31
"Dec 2017",31
"Jan 2018",30
"Feb 2018",30
"Mar 2018",29
"Apr 2018",29
"May 2018",29
"Jun 2018",28
"Jul 2018",27
"Aug 2018",27
"Sep 2018",27
"Oct 2018",27
"Nov 2018",27
"Dec 2018",27
"Jan 2019",27
"Feb 2019",26
"Mar 2019",26
"Apr 2019",26
"May 2019",27
"Jun 2019",27
"Jul 2019",28
"Aug 2019",28
"Sep 2019",28
"Oct 2019",27
"Nov 2019",27
"Dec 2019",27
"Jan 2020",27
"Feb 2020",27
"Mar 2020",27
"Apr 2020",27
"May 2020",27
"Jun 2020",27
"Jul 2020",27
"Aug 2020",27
"Sep 2020",27
"Oct 2020",27
"Nov 2020",28
"Dec 2020",27
"Jan 2021",27
"Feb 2021",28
"Mar 2021",28
"Apr 2021",28
"May 2021",28
"Jun 2021",28
"Jul 2021",27
"Aug 2021",27
"Sep 2021",27
"Oct 2021",27
"Nov 2021",27
"Dec 2021",27
"Jan 2022",26
"Feb 2022",26
"Mar 2022",26
"Apr 2022",26
"May 2022",26
"Jun 2022",26
"Jul 2022",26
"Aug 2022",26
"Sep 2022",26
"Oct 2022",26
"Nov 2022",26
"Dec 2022",25
"Jan 2023",25
"Feb 2023",25
"Mar 2023",25
"Apr 2023",25
"May 2023",26
"Jun 2023",26
"Jul 2023",26
"Aug 2023",26
"Sep 2023",26
"Oct 2023",26
"Nov 2023",26
"Dec 2023",26
"Jan 2024",26
"Feb 2024",26
"Mar 2024",26
"Apr 2024",26
"May 2024",26
"Jun 2017",41
"Jul 2017",41
"Aug 2017",41
"Sep 2017",41
"Oct 2017",41
"Nov 2017",41
"Dec 2017",41
"Jan 2018",41
"Feb 2018",41
"Mar 2018",41
"Apr 2018",39
"May 2018",39
"Jun 2018",39
"Jul 2018",40
"Aug 2018",40
"Sep 2018",40
"Oct 2018",40
"Nov 2018",40
"Dec 2018",40
"Jan 2019",40
"Feb 2019",40
"Mar 2019",40
"Apr 2019",40
"May 2019",40
"Jun 2019",40
"Jul 2019",40
"Aug 2019",40
"Sep 2019",40
"Oct 2019",40
"Nov 2019",40
"Dec 2019",40
"Jan 2020",40
"Feb 2020",40
"Mar 2020",40
"Apr 2020",40
"May 2020",40
"Jun 2020",40
"Jul 2020",40
"Aug 2020",40
"Sep 2020",40
"Oct 2020",40
"Nov 2020",40
"Dec 2020",40
"Jan 2021",40
"Feb 2021",40
"Mar 2021",40
"Apr 2021",40
"May 2021",40
"Jun 2021",39
"Jul 2021",40
"Aug 2021",40
"Sep 2021",39
"Oct 2021",38
"Nov 2021",38
"Dec 2021",38
"Jan 2022",38
"Feb 2022",38
"Mar 2022",38
"Apr 2022",38
"May 2022",38
"Jun 2022",38
"Jul 2022",38
"Aug 2022",38
"Sep 2022",38
"Oct 2022",38
"Nov 2022",38
"Dec 2022",38
"Jan 2023",38
"Feb 2023",38
"Mar 2023",38
"Apr 2023",38
"May 2023",38
